,p_stress_or_crisis,p_crisis,signal_color,cpi_level,cpi_alert
2000-02-29,0.8710215138283751,0.005192656776706631,YELLOW,0.2869070451922697,False
2000-03-31,0.8782805918887422,0.0017397090004413274,YELLOW,0.21555334941240228,False
2000-04-30,0.9999457116375583,0.003510645840905404,YELLOW,0.5281906392880129,False
2000-05-31,0.9999470195899293,0.0005351211160915563,YELLOW,0.3103152769543278,False
2000-06-30,0.9999665124242751,0.0003575510376876115,YELLOW,0.32075977186122684,False
2000-07-31,0.9999998924057643,0.0010056483948804285,YELLOW,0.5352119078441243,False
2000-08-31,0.9999999998778986,0.002683435746089421,YELLOW,0.7096355634830371,False
2000-09-30,0.9999999999693551,0.006854145979608831,YELLOW,0.7137150470886436,False
2000-10-31,0.9999999999999979,0.02453488273239144,YELLOW,0.9479060957898882,False
2000-11-30,0.9999999999979172,0.06069982231764687,YELLOW,0.8974785553106139,False
2000-12-31,0.999999999998481,0.20183705344760017,YELLOW,0.904632440626109,False
2001-01-31,0.9999999999999984,0.996838723743073,RED,2.1834182061845073,True
2001-02-28,0.9999999999423366,0.3076331496699244,YELLOW,1.6444459279149488,True
2001-03-31,0.9999999999999842,0.3005587630696421,YELLOW,1.6691820578530945,True
2001-04-30,0.9999995789315804,0.22085539641585836,YELLOW,1.2116505940556064,False
2001-05-31,0.9999999999999982,0.2448343281812182,YELLOW,1.5381402078866582,True
2001-06-30,0.9999999999999982,0.2712574754641787,YELLOW,1.5516042594701391,True
2001-07-31,0.999655349512158,0.30357683570024496,YELLOW,0.9253916897943122,False
2001-08-31,0.9999999903615716,0.3834987081662834,YELLOW,1.1227411210623082,False
2001-09-30,0.9999999999550309,0.5667994577180365,YELLOW,1.1314857277821857,False
2001-10-31,0.9998707265948868,0.9971087751497402,RED,-0.12200963854741466,False
2001-11-30,0.9999999999999982,0.9997699541393408,RED,0.8999371536174338,False
2001-12-31,0.9999999999999946,0.995122361930011,RED,0.8682533573153232,False
2002-01-31,0.9999999999999981,0.9999999999999981,RED,3.7612329931501565,True
2002-02-28,0.999999999999998,0.9979864597344403,RED,2.194871857751546,True
2002-03-31,0.9999999999999981,0.9989898635622484,RED,2.2217671269518644,True
2002-04-30,0.999999999999998,0.999999999999998,RED,-1.8121481856205917,False
2002-05-31,0.9999999999999978,0.9999999203282404,RED,-0.6646369534366326,False
2002-06-30,0.9999999999881289,0.991594701523265,RED,-0.6804218781290065,False
2002-07-31,0.999999999999998,0.9999999999997701,RED,1.4449090328648853,False
2002-08-31,0.9999999999999944,0.9398195508107292,RED,0.690573553052714,False
2002-09-30,0.9999999999999044,0.9537059559311335,RED,0.7019938021591846,False
2002-10-31,0.9998296349137015,0.31243773240752315,YELLOW,-0.4585255459477147,False
2002-11-30,0.9999984251727838,0.30440603642108677,YELLOW,-0.009987714195672955,False
2002-12-31,0.999998295857107,0.20032318937487498,YELLOW,-0.016270696046103574,False
2003-01-31,0.9999999999999915,0.20476298096656678,YELLOW,0.5841707942267041,False
2003-02-28,0.9999999999999982,0.19971894317600547,YELLOW,0.8420904422656535,False
2003-03-31,0.9999999999902662,0.18302985382600506,YELLOW,0.8078994689220969,False
2003-04-30,0.9999994695871428,0.1663587463421709,YELLOW,0.5370982217722857,False
2003-05-31,0.9999996118128363,0.1983797168595215,YELLOW,0.4816430381820588,False
2003-06-30,0.9999998189073811,0.3310697886870574,YELLOW,0.4355148968336185,False
2003-07-31,0.9698444656469516,0.578699742581771,YELLOW,-0.5044239583373314,False
2003-08-31,0.9753357456259009,0.593718971457676,YELLOW,-0.22273314595943292,False
2003-09-30,0.976022761325392,0.6312580076873968,YELLOW,-0.24306708420248688,False
2003-10-31,0.9999999999999987,0.9999999996888306,RED,1.9431813950788104,True
2003-11-30,0.9999999999863289,0.9871886614317941,RED,0.7606268164388931,False
2003-12-31,0.9999999999992643,0.9910804185814848,RED,0.7530627721250591,False
2004-01-31,0.9999999999999988,0.9999999840387573,RED,-1.5262615718832848,False
2004-02-29,0.9999999999999989,0.9999695321440811,RED,-0.5886940131950854,False
