,cc_delinquency,cc_chargeoff,consumer_loan_delinquency,debt_service_ratio,financial_obligations,ci_loan_tightening_large,revolving_credit,real_disposable_income,pce,unemployment,hy_spread,bbb_spread
2025-04-30,3.04,4.21,2.75,5.298177,,18.5,1299129.25,18132.9,20746.4,4.2,4.034761904761905,1.3761904761904762
2025-05-31,3.04,4.21,2.75,5.298177,,18.5,1299722.4,17980.9,20755.0,4.3,3.354347826086957,1.2152173913043478
2025-06-30,3.04,4.21,2.75,5.298177,,18.5,1301742.19,17962.1,20868.4,4.1,3.125238095238095,1.103809523809524
2025-07-31,2.98,4.15,2.72,5.369278,,9.5,1310351.97,18040.9,21007.3,4.3,2.889130434782609,1.0130434782608695
2025-08-31,2.98,4.15,2.72,5.369278,,9.5,1308162.07,18076.9,21123.8,4.3,2.902727272727273,0.9945454545454545
2025-09-30,2.98,4.15,2.72,5.369278,,9.5,1312713.48,18094.6,21202.4,4.4,2.788181818181818,0.9736363636363635
2025-10-31,2.94,4.07,2.62,5.400247,,6.5,1317148.1,18063.1,21288.1,,2.924782608695652,0.9860869565217392
2025-11-30,2.94,4.07,2.62,,,6.5,1316163.19,18078.6,21356.0,4.5,3.080952380952381,1.0561904761904761
2025-12-31,2.94,4.07,2.62,,,6.5,1324321.51,18070.6,21445.9,4.4,2.8918181818181816,1.0145454545454546
2026-01-31,2.92,3.84,2.64,,,5.3,1326575.31,18187.0,21525.5,4.3,2.7404545454545453,0.9677272727272727
2026-02-28,,,,,,5.3,1326953.92,18118.9,21665.1,4.4,2.9195238095238096,0.9928571428571429
2026-03-31,,,,,,5.3,1336987.42,18108.7,21860.5,4.3,3.1872727272727275,1.1018181818181818
