,cac_beta,cac_r2,cac_stderr,cac_zscore
2000-02-29,,,,
2000-03-31,,,,
2000-04-30,,,,
2000-05-31,,,,
2000-06-30,,,,
2000-07-31,,,,
2000-08-31,,,,
2000-09-30,,,,
2000-10-31,,,,
2000-11-30,,,,
2000-12-31,,,,
2001-01-31,,,,
2001-02-28,,,,
2001-03-31,,,,
2001-04-30,,,,
2001-05-31,,,,
2001-06-30,,,,
2001-07-31,,,,
2001-08-31,,,,
2001-09-30,,,,
2001-10-31,,,,
2001-11-30,,,,
2001-12-31,,,,
2002-01-31,,,,
2002-02-28,,,,
2002-03-31,,,,
2002-04-30,,,,
2002-05-31,,,,
2002-06-30,,,,
2002-07-31,,,,
2002-08-31,,,,
2002-09-30,,,,
2002-10-31,,,,
2002-11-30,,,,
2002-12-31,,,,
2003-01-31,-0.5208493335844969,0.12936156184811287,0.23173356754050486,-1.5303321718595995
2003-02-28,-0.5227852710792975,0.13240833282134612,0.22950064593021166,-1.5366462756358452
2003-03-31,-0.5039096301666924,0.1213937684431522,0.23249421041010446,-1.475082947333443
2003-04-30,-0.49381779891815925,0.114260693286517,0.2357934910050554,-1.4421682122416666
2003-05-31,-0.4779326711723415,0.109324771612755,0.23395248289491416,-1.390358510040333
2003-06-30,-0.44718742696634173,0.09768679671272495,0.23308313339935918,-1.2900822030500094
2003-07-31,-0.4164828043488605,0.0889255875434587,0.22862365825159622,-1.189938384286269
2003-08-31,-0.3855031901891104,0.0861737294372854,0.2152944789824958,-1.0888976744089784
2003-09-30,-0.3873880824581116,0.11119141303650515,0.18783446997518877,-1.095045293030696
2003-10-31,-0.36060759560382677,0.09698355829873517,0.188709682291593,-1.0077001315105105
2003-11-30,-0.3335784893144399,0.08426771142988121,0.18858721331552158,-0.9195440920987394
2003-12-31,-0.30985371443407306,0.08410964289488032,0.17535416955067348,-0.8421652040586918
2004-01-31,-0.3026587986950414,0.08117570652890682,0.1746292711695147,-0.8186988241990107
2004-02-29,-0.26307179236034295,0.08992115688807978,0.1435302335456566,-0.6895849107284047
2004-03-31,-0.26548321894480353,0.08987051968449855,0.14489072338666628,-0.6974498328883272
2004-04-30,-0.25484845461594463,0.07934588812273569,0.1488773335017134,-0.6627643093170982
2004-05-31,-0.25648407708873827,0.08054007187959655,0.14862139964769466,-0.6680989288798246
2004-06-30,-0.25316010542618966,0.07857234208484887,0.14867966776805008,-0.657257720378517
2004-07-31,-0.2891550980128449,0.11504714697524465,0.13753509614599466,-0.7746562000441785
2004-08-31,-0.29658162947764305,0.12768981314885475,0.1329419775688844,-0.7988779998141758
2004-09-30,-0.30835033322096406,0.11480359809373597,0.1468408986699522,-0.8372618923452079
2004-10-31,,,,
2004-11-30,-0.2417011742572666,0.030539336378298643,0.23354716513452753,-0.6198841580813054
2004-12-31,-0.24131761210881666,0.030440472340976688,0.23356679769148317,-0.6186331614884624
2005-01-31,0.050890262289763136,0.013762984057229088,0.07388045759129407,0.3344094073672389
2005-02-28,0.05168693162900229,0.013943140599380066,0.07454387565087583,0.337007762374474
2005-03-31,0.05893514640881876,0.018750785529594638,0.07311640605875122,0.36064797825706046
2005-04-30,0.05889839823657867,0.018708561051457795,0.07315480177558623,0.36052812326497813
2005-05-31,0.0655708870912522,0.02161531008595574,0.07565640303741286,0.38229059606557425
2005-06-30,0.06553393473704537,0.021575614252526742,0.07568482925972941,0.38217007512940493
2005-07-31,0.06647634034270508,0.022183545740879107,0.07569040567788718,0.38524375225453555
2005-08-31,0.06874735896872293,0.024377520499752503,0.07458692353195076,0.3926507306931348
2005-09-30,0.06923743622507361,0.024817722876596338,0.07443264534528495,0.39424912871129747
2005-10-31,0.07426701147958814,0.029757769622342223,0.07272711966886529,0.41065320177291953
2005-11-30,0.07064728665996108,0.025973965347129924,0.07419458027463978,0.3988473876833835
2005-12-31,0.06723907508281333,0.02344441373564954,0.07442366757889625,0.3877314288018031
2006-01-31,0.006164914018607005,1.7111254776658313e-05,0.2555894484749941,0.18853667585020042
2006-02-28,,,,
2006-03-31,,,,
2006-04-30,-0.00363858720309128,5.972940057552556e-06,0.2553277123173226,0.15656233564004232
2006-05-31,-0.005654145179146486,1.4389372889334062e-05,0.2556250667592479,0.14998854786950103
2006-06-30,-0.003132899687992166,4.383171507638117e-06,0.25663261363490325,0.15821164686897565
2006-07-31,-0.004658140034806284,9.693812274003122e-06,0.25658051603367754,0.15323704109819716
2006-08-31,-0.007521443913698527,2.525787022311654e-05,0.2566598371533743,0.14389831095695624
2006-09-30,0.02830556715744204,0.0003368865925791331,0.2644340476785135,0.2607489151233832
2006-10-31,0.023738196159895968,0.00023905417096481418,0.2632741242620113,0.24585233166416795
2006-11-30,0.01717203761353882,0.0001262523540440652,0.2620808044999733,0.22443665756088155
2006-12-31,0.014478292875679658,8.965741831223895e-05,0.26221969910484744,0.21565094838006382
2007-01-31,0.014259285240721193,8.708582494931782e-05,0.2620388300805064,0.21493665004211038
2007-02-28,0.010549517185006201,4.778721819009846e-05,0.261713950670014,0.20283715790845613
2007-03-31,0.012359621861343954,6.568635744963469e-05,0.26152539794320934,0.20874085511095367
2007-04-30,0.006391959318858459,1.794827712198188e-05,0.2587493473840776,0.1892771892146798
2007-05-31,0.00030392320266252294,4.0404486423284425e-08,0.2593042255984832,0.1694209221944716
2007-06-30,-0.0018064023176241383,1.4295920381934835e-06,0.2591007394476753,0.1625380479423138
2007-07-31,0.0015284734311920244,1.025359685935534e-06,0.25886902840486714,0.17341482036676625
2007-08-31,-0.007099765478825953,2.2110712290634993e-05,0.25893954267374136,0.145273624677126
2007-09-30,-0.006249949654563029,1.7155601727880665e-05,0.2587797907853872,0.14804531814321317
2007-10-31,-0.008810004770799842,3.406101024738817e-05,0.2588812078523006,0.13969564067674456
2007-11-30,-0.0032796259993047405,4.700208227625957e-06,0.2594330445414899,0.15773309569734872
2007-12-31,-0.0070534463438387054,2.180740292567762e-05,0.25903306182437247,0.14542469557994228
2008-01-31,-0.9365538913303976,0.0037806314818785713,2.6072857524813466,-2.8861619571266797
2008-02-29,-1.0591272953298314,0.0049112137328786165,2.585503921399106,-3.2859378771337684
2008-03-31,-1.0777343040635292,0.005104878996812112,2.58028793952778,-3.346625055529567
2008-04-30,-1.2038693238582663,0.01180156727733428,1.8892617277348656,-3.758017265733555
2008-05-31,-1.2391420062577159,0.012651805638450697,1.8773296245744278,-3.8730599144424294
2008-06-30,-0.3065553429126191,0.019239820633607074,0.3753620255410169,-0.8314074909946039
2008-07-31,-0.36291962711793885,0.03495348955724775,0.32703922875835206,-1.0152408744080792
2008-08-31,-0.39512374185490384,0.04156371641278911,0.32540041628753774,-1.1202753205187828
2008-09-30,-0.3672551893503245,0.034742952089197865,0.33198358814227497,-1.0293814083546435
2008-10-31,-0.3710072909543164,0.03559733222483774,0.3311795116971894,-1.0416189723102214
2008-11-30,-0.3500650157285077,0.030431008536708326,0.3388757083357438,-0.9733152696123831
2008-12-31,-0.3916393835505607,0.03688158216515047,0.3432274170839754,-1.108911007370071
2009-01-31,-0.28513810933668576,0.10880015265696241,0.1399550605387493,-0.7615547009320465
2009-02-28,-0.3637432749417636,0.15694879138146212,0.14457842985920125,-1.017927220350898
2009-03-31,-0.32648000173962555,0.09027714530533948,0.17773901518666674,-0.8963922148701899
2009-04-30,-0.30653668572733195,0.07725623135928605,0.181684049015306,-0.831346640164248
2009-05-31,-0.26568217263768207,0.04730839530087805,0.20447019732879096,-0.6980987248421615
2009-06-30,-0.2940434360615258,0.07333672128255087,0.17925540614617463,-0.7905996247754202
2009-07-31,-0.3034585339685471,0.07676203626675737,0.18048598365527366,-0.8213071788199637
2009-08-31,-0.2931658454059732,0.0673688346790976,0.18706793765599455,-0.7877373430710238
2009-09-30,-0.274459976950391,0.05814524830423273,0.18944119118605826,-0.7267277314639538
2009-10-31,-0.272697357894006,0.054528790572781816,0.19473889139371273,-0.7209789096812806
2009-11-30,-0.22098936539597303,0.030706675508772152,0.2129330757157327,-0.552332126626155
2009-12-31,-0.18362579755483832,0.020756364416311124,0.2163037117350294,-0.4304700079196704
2010-01-31,-0.15889605022653272,0.015341402162526996,0.21831519020234616,-0.34981337958811254
2010-02-28,-0.1272207232140855,0.009812359254572023,0.21917470566564312,-0.246503586560051
2010-03-31,-0.10385721785456213,0.006635329122729905,0.21793166974033712,-0.17030298720542142
