,Strain,Expansion,Crisis
0,0.27819432203316397,0.1113701373672317,1.0644761252240702
1,0.25019875687854987,0.08366795598252509,0.687867984857501
2,0.2250204730494432,0.06285640858294797,0.4445025617576152
3,0.20237595871019368,0.04722152051583149,0.2872390222522332
4,0.1820102327083405,0.03547565077448644,0.18561480405912512
5,0.16369397344268452,0.026651445868867953,0.11994489890601748
6,0.14722093666235067,0.020022171585137926,0.0775087894874594
7,0.13240563312081102,0.01504186140433711,0.05008643554336183
8,0.11908123993485048,0.011300352389110133,0.03236601993178114
9,0.10709772213001577,0.008489505433233626,0.020915028886763967
10,0.0963201432208237,0.006377827878213512,0.013515360685563861
11,0.08662714580256987,0.0047914084941722964,0.008733670675276207
12,0.07790958504593806,0.0035995946890396598,0.005643726811201805
13,0.07006929970732323,0.002704232365310114,0.0036469948895194366
14,0.06301800681623143,0.0020315822522623365,0.0023567001325757995
15,0.056676307593745465,0.0015262469677726812,0.0015229074027067375
16,0.05097279340852604,0.001146608661323601,0.0009841077891755863
17,0.0458432417032581,0.0008614014966011142,0.0006359337008899915
18,0.041229892837535066,0.0006471366939528337,0.0004109424560763082
19,0.037080799704306514,0.0004861680671703418,0.0002655523712136802
20,0.03334924279645792,0.0003652387381905638,0.0001716008185927464
21,0.02999320413707082,0.00027438934163542095,0.00011088901525193261
22,0.026974894149727122,0.00020613780229368042,7.165684758605875e-05
23,0.024260326141335206,0.00015486313455618234,4.630489137545266e-05
24,0.02181893360608076,0.00011634251543246161,2.9922373611501514e-05
